id,severity,area,finding,detail,scope,source_location,caught_by,by_design,status
R1,high,media,Photo previews use the wrong PhotoSize,"Selector picks by byte size not pixel box, so previews land on Telegram's 320/800/1280 boxes instead of Desktop's 520px rescale. Wrong in both directions.","+54.18 MB; 552 previews too large (median 3.1x, max 22x), 13 too small",crates/tgx-tg/src/download.rs:650 fetch_preview,nothing,no,open (verified 2026-08-29)
R2,high,json,Link previews promoted to real message media,"Desktop writes no media key for MessageMediaWebPage. We write a top-level photo plus photo_file_size/width/height on 21 messages, and a full file/media_type video_file block on 2 more.","23 messages; 21 dangling JSON refs; 42 broken img tags; 474 photo filenames shifted",crates/tgx-tg/src/plan.rs,wire leg,no,"fix landed after the compared export; re-confirm on next live run"
R3,medium,json,Service-message names resolve to empty string,"inviter is empty on every join_group_by_link; members[0] empty on 2 invite_members. Desktop resolves all of them. Residue of the 206-empty-names bug; participants.json is clean at 43/43, so the roster path is fine and the service-message path is not.",28 messages (26 inviter + 2 members),,wire leg,no,"fixed 2026-08-29: engine/peers.rs learn_service_actors; awaiting live confirmation"
R4,medium,media,No media de-duplication,"Desktop reuses one file for a repeated document and writes a second thumbnail with a ' (1)' suffix. We are strictly 1:1.","46 refs collapse to 20 basenames in Desktop; 9 redundant photos (3.33 MB); 74 file + 74 thumbnail paths shifted",,filesystem walk,no,open
R5,low,media,custom_emoji document_id left as numeric id,"Desktop downloads the emoji document and rewrites document_id to its path. We keep the number, so 3 AnimatedSticker*.tgs are never planned.",10 reaction entries + 1 text entity; 3 files not fetched,crates/tgx-tg/src/convert.rs,media leg (documented ceiling),yes,"known ceiling: the media leg's 830 of 836"
R6,medium,json,Reactions carry too many recent reactors and no count span,"Desktop caps recent at 3 and appends a count span when there are more reactors than avatars (95 spans, all exact). We emit the full list up to 11 and no count span. Desktop also omits recent entirely on 19 reactions; we always write it.",209 messages; 1601 avatars vs Desktop's 1443; 0 count spans vs 95,crates/tgx-tg/src/convert.rs:643,wire leg,no,open (verified 2026-08-29)
R7,medium,media,Sticker preview is a byte-copy of the sticker,"_thumb.webp hashes identically to the sticker itself. Same fetch_preview branch as R1 -- when Telegram advertises nothing smaller the full file is copied, and for stickers that branch is always taken. Also emits AnimatedSticker_thumb.tgs, a Lottie file offered as an image preview.",every sticker in every topic,crates/tgx-tg/src/download.rs:691 fetch_preview,nothing,no,open (verified 2026-08-29)
R8,low,html,Userpic colour class off by one,"Desktop's class set is {1,2,4,5,6,7,8,19}; ours is {1,2,4,5,6,7,8,18}. style.css defines only 1-8 so both render unstyled.",494 occurrences of userpic18; userpic19 never emitted,crates/tgx-html/src/userpic.rs,live HTML diff only,no,"fixed 2026-08-29 in convert/names.rs learn_user; awaiting live confirmation"
R9,low,html,Userpic initials computed two different ways,"We disagree with ourselves -- the same person renders 'A' in one place and 'AR' in another. One path uses Desktop's first+last initial rule, another splits the display name on whitespace.","29 occurrences across 5 people, all in reaction avatars",crates/tgx-html/src/userpic.rs,live HTML diff only,no,"fixed 2026-08-29: the roster now goes through NameBook::learn (enrich.rs add_member_facts) instead of writing two of four maps by hand"
R10,low,json,Coordinates not rounded to 6 decimal places,"Desktop writes 44.857507; we write 44.857507352853844. Shows up twice per message -- in location_information and in the map URL in the HTML. The only floats in the corpus.",2 messages; 4 JSON literals + 2 URLs,crates/tgx-tg/src/convert.rs:752,wire leg,no,"fixed 2026-08-29: convert::coord rounds to 6dp, unit-tested"
R11,low,html,export_results.html drops three fields it already holds,"topic_closed is true for two topics in our own JSON but the page shows only 'pinned'. Topic creator populated and not rendered. Invite link populated and not rendered (arguably deliberate -- it is a live credential to a private group).",3 fields; topic_closed affects 2 topics,crates/tgx-html/src/index.rs,nothing,partly,"fixed 2026-08-29: markers joined, creator rendered, invite link shown as [INVITE LINK] by choice"
R12,medium,media,JSON metadata disagrees with the file on disk,"Four photos are served as photoSizeProgressive. Desktop assembles it; we record the progressive size's dimensions then download the largest plain photoSize. In 3 of 4 cases the lower-resolution file is the larger file.",4 photos; Desktop has 0 recorded-vs-actual mismatches,,nothing,no,open
B1,unknown,html,Forwarded header shown or suppressed on 117 messages,"Desktop shows the forwarded userpic and origin name on some joined messages and suppresses it on others, and we disagree with it. The discriminator is not recoverable from result.json -- not the sender, not the origin (joined already implies same origin 573/573), not media type, not the reply, not the date gap.",117 of 814 forwarded messages (59 one way + 58 the other),,live HTML diff,unknown,"open, cause unidentified"
B2,none,media,Flattened media path,Desktop nests media under chats/chat_<id>/topic_<N>/. We put it directly under the topic folder -- a consequence of one folder per topic.,every media reference,,n/a,yes,by design
B3,none,json,stripped_thumbnail extra key,An inline blur placeholder Desktop does not write. Emitted immediately before text.,1351 messages,,n/a,yes,by design
B4,none,media,Extra thumbnails/ tree and media_wrap block,A stripped-thumbnail preview shown for files Telegram declined to download. Desktop has no equivalent.,1364 files; ~13500 extra HTML lines,,n/a,yes,by design
F1,feature,features,No analytics report,"A report.html with inline SVG charts, a per-message digest and an event-annotation layer. No parity leg can flag this because Desktop never produced it either.",~1.33 MB of output,,nothing,no,"deferred: see ROADMAP.md, the Analyser"
F2,feature,features,missing_media.txt has no counterpart,"We alone record which downloads were attempted and failed, as distinct from Desktop's 'deliberately not fetched by policy' placeholder. Verified set-equal to the 42 dangling paths -- no extras, no omissions.",2 files; 42 entries (21 photos x main + thumb),,n/a,no,"ours by design; keep"
